Acronym,full_name,conference_rank,academic_society
AAAI,National Conference of the American Association for Artificial Intelligence,A*,other
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,A*,other
ACL,Association of Computational Linguistics,A*,other
ACMMM,ACM Multimedia,A*,ACM
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*,other
CAV,Computer Aided Verification,A*,other
CCS,ACM Conference on Computer and Communications Security,A*,ACM
CHI,International Conference on Human Factors in Computing Systems,A*,other
COLT,Annual Conference on Computational Learning Theory,A*,other
CRYPTO,Advances in Cryptology,A*,other
CSCL,Computer Supported Collaborative Learning,A*,other
DCC,Data Compression Conference,A*,other
DSN,IEEE/IFIP International Conference on Dependable Systems,A*,IEEE
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,A*,other
FOCS,IEEE Symposium on Foundations of Computer Science,A*,IEEE
FOGA,Foundations of Genetic Algorithms,A*,other
HPCA,International Symposium on High Performance Computer Architecture,A*,other
I3DG,ACM SIGRAPH Interactive 3D Graphics,A*,ACM
ICCV,IEEE International Conference on Computer Vision,A*,IEEE
ICDE,International Conference on Data Engineering,A*,other
ICDM,IEEE International Conference on Data Mining,A*,IEEE
ICFP,International Conference on Functional Programming,A*,other
ICIS,International Conference on Information Systems,A*,other
ICML,International Conference on Machine Learning,A*,other
ICSE,International Conference on Software Engineering,A*,other
IJCAI,International Joint Conference on Artificial Intelligence,A*,other
IJCAR,International Joint Conference on Automated Reasoning,A*,other
ISCA,ACM International Symposium on Computer Architecture,A*,ACM
ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,ACM+IEEE
ISSAC,International Symposium on Symbolic and Algebraic Computation,A*,other
ISWC,IEEE International Symposium on Wearable Computing,A*,IEEE
KR,International Conference on the Principles of Knowledge Representation and Reasoning,A*,other
LICS,IEEE Symposium on Logic in Computer Science,A*,IEEE
NIPS,Advances in Neural Information Processing Systems,A*,other
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,A*,ACM
OSDI,Usenix Symposium on Operating Systems Design and Implementation,A*,other
PERCOM,IEEE International Conference on Pervasive Computing and Communications,A*,IEEE
PERVASIVE,International Conference on Pervasive Computing,A*,other
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,A*,ACM
PODC,ACM Symposium on Principles of Distributed Computing,A*,ACM
PODS,ACM SIGMOD SIGACT SIGART Conference on Principles of Database Systems,A*,ACM
POPL,ACM SIGACT Symposium on Principles of Programming Languages,A*,ACM
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A*,ACM
SIGIR,ACM International Conference on Research and Development in Information Retrieval,A*,ACM
SIGKDD,ACM International Conference on Knowledge Discovery and Data Mining,A*,ACM
SIGMOD,ACM Special Interest Group on Management of Data Conference,A*,ACM
SODA,ACM/SIAM Symposium on Discrete Algorithms,A*,ACM
SOSP,ACM SIGOPS Symposium on Operating Systems Principles,A*,ACM
STOC,ACM Symposium on Theory of Computing,A*,ACM
UAI,Conference in Uncertainty in Artificial Intelligence,A*,other
UbiComp,Ubiquitous Computing,A*,other
VLDB,International Conference on Very Large Databases,A*,other
WWW,International World Wide Web Conference,A*,other
ISWC,International Semantic Web Conference,A*,other
DSN,Workshop on Assurance Cases for Security,A*,other
ICIS,IEEE/ACIS International Conference on Computer and Information Science,A*,IEEE
ICIS,"International Conference on Interaction Sciences: Information Technology, Culture and Human",A*,other
ACIS,Australasian Conference on Information Systems,A,other
ACSAC,Annual Computer Security Applications Conference,A,other
AIIM,Artificial Intelligence in Medicine,A,other
AIME,Artificial Intelligence in Medicine in Europe,A,other
AiML,Advances in Modal Logic,A,other
ALENEX,Workshop on Algorithm Engineering and Experiments,A,other
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,A,other
ALT,Algorithmic Learning Theory,A,other
AMCIS,Americas Conference on Information Systems,A,other
AOSD,Aspect Oriented Software Development,A,other
APPROX,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems,A,other
ASAP,International Conference on Apps for Specific Array Processors,A,other
ASE,Automated Software Engineering Conference,A,other
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,other
ATVA,International Symposium on Automated Technology for Verification and Analysis,A,other
BPM,International Conference in Business Process Management,A,other
CADE,International Conference on Automated Deduction,A,other
CaiSE,International Conference on Advanced Information Systems Engineering,A,other
CANIM,Computer Animation,A,other
CBSE,International Symposium Component Based Software Engineering,A,other
CC,International Conference on Compiler Construction,A,other
CCC,IEEE Symposium on Computational Complexity,A,IEEE
CCGRID,"IEEE International Symposium on Cluster, Cloud and Grid Computing",A,IEEE
CGO,International Symposium on Code Generation and Optimization,A,other
CIDR,Conference on Innovative Data Systems Research,A,other
CIKM,ACM International Conference on Information and Knowledge Management,A,ACM
CLUSTER,IEEE International Conference on Cluster Computing,A,IEEE
COCOON,International Conference on Computing and Combinatorics,A,other
CogSci,Annual Conference of the Cognitive Science Society,A,other
COLING,International Conference on Computational Linguistics,A,other
CONCUR,International Conference on Concurrency Theory,A,other
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A,ACM
CoNLL,Conference on Natural Language Learning,A,other
CoopIS,International Conference on Cooperative Information Systems,A,other
Coordination,International Conference on Coordination Models and Languages,A,other
CP,International Conference on Principles and Practice of Constraint Programming,A,other
CSB,IEEE Computational Systems Bioinformatics Conference,A,IEEE
CSCW,ACM Conference on Computer Supported Cooperative Work,A,ACM
CSF,IEEE Computer Security Foundations Symposium (was CSFW),A,IEEE
CSSAC,Cognitive Science Society Annual Conference,A,other
CVPR,IEEE Conference on Computer Vision and Pabern Recognition,A,IEEE
DASFAA,Database Systems for Advanced Applications,A,other
DESRIST,International Conference on Design Science Research in Information Systems and Technology,A,other
DISC,International Symposium on Distributed Computing (was WDAG),A,other
e Science,IEEE International Conference on e Science and Grid Computing,A,IEEE
EACL,European Association of Computational Linguistics,A,other
