id,name,first_name,middle_name,last_name,affiliation,homepage,scholarid,clean_author_name
2,"A Min Tjoa",A,Min,Tjoa,"TU Wien",http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,"A Min Tjoa"
3,"A. Akbari Azirani",A.,Akbari,Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,"A. Akbari Azirani"
4,"A. Akbariazirani",A.,,Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,"A. Akbariazirani"
5,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,"A. Aldo Faisal"
6,"A. Antony Franklin",A.,Antony,Franklin,"IIT Hyderabad",http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,"A. Antony Franklin"
7,"A. B. M. Alim Al Islam",A.,"B. M. Alim","Al Islam",BUET,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,"A. B. M. Alim Al Islam"
8,"A. B. Siddique 0001",A.,"B. Siddique",0001,"University of Kentucky",http://cs.uky.edu/~siddique,pVnchfsAAAAJ,"A. B. Siddique"
9,"A. B. van der Merwe",A.,"B. van der",Merwe,"Stellenbosch University",http://www.cs.sun.ac.za/~abvdm,TKlHqnMAAAAJ,"A. B. van der Merwe"
10,"A. Baskar",A.,,Baskar,"BITS Pilani-Goa",https://www.bits-pilani.ac.in/goa/abaskar/profile,mNpOTuEAAAAJ,"A. Baskar"
11,"A. C. Cem Say",A.,"C. Cem",Say,"BoÄŸaziÃ§i University",https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,"A. C. Cem Say"
12,"A. C. W. Finkelstein",A.,"C. W.",Finkelstein,"City University of London",https://finkelstein.uk,n8xuCVkAAAAJ,"A. C. W. Finkelstein"
13,"A. CÃ¼neyd Tantug",A.,"CÃ¼neyd T",Tantug,"Istanbul Technical University",http://tantug.com,TTawdWMAAAAJ,"A. CÃ¼neyd Tantug"
14,"A. D. Fekete",A.,D.,Fekete,"University of Sydney",https://sydney.edu.au/engineering/it/~fekete,Hs9cVRgAAAAJ,"A. D. Fekete"
15,"A. David Marshall",A.,David,Marshall,"Cardiff University",https://www.cardiff.ac.uk/people/view/118142-marshall-david,7HJzGQYAAAAJ,"A. David Marshall"
16,"A. E. Eiben",A.,E.,Eiben,"VU Amsterdam",http://www.cs.vu.nl/~gusz,NMuDAe0AAAAJ,"A. E. Eiben"
17,"A. ErcÃ¼ment Ã‡iÃ§ek",A.,"ErcÃ¼ment Ã‡",Ã‡iÃ§ek,"Bilkent University",http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,"A. ErcÃ¼ment Ã‡iÃ§ek"
18,"A. I. Ovchinnikov",A.,I.,Ovchinnikov,CUNY,http://qcpages.qc.cuny.edu/~aovchinnikov,JmOotdkAAAAJ,"A. I. Ovchinnikov"
19,"A. J. Field",A.,J.,Field,"Imperial College London",http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,"A. J. Field"
20,"A. J. H. Hidders",A.,"J. H.",Hidders,"Birkbeck University of London",https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,"A. J. H. Hidders"
21,"A. J. Jansen",A.,J.,Jansen,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,"A. J. Jansen"
22,"A. J. Kfoury",A.,J.,Kfoury,"Boston University",http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,"A. J. Kfoury"
23,"A. J. Ko 0001",A.,"J. Ko",0001,"University of Washington",http://faculty.washington.edu/ajko,otmdDLoAAAAJ,"A. J. Ko"
24,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,"A. Jefferson Offutt"
25,"A. John Power",A.,John,Power,"University of Bath",http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,"A. John Power"
26,"A. K. McIver",A.,K.,McIver,"Macquarie University",https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,"A. K. McIver"
27,"A. M. A. Hemmatyar",A.,"M. A.",Hemmatyar,"Sharif University of Technology",http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,"A. M. A. Hemmatyar"
28,"A. Min Tjoa",A.,Min,Tjoa,"TU Wien",http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,"A. Min Tjoa"
29,"A. Mokhade",A.,,Mokhade,"VNIT Nagpur",https://vnit.ac.in/engineering/cse/dr-a-s-mokhade,OS8D5xkAAAAJ,"A. Mokhade"
30,"A. Murat Ozbayoglu",A.,Murat,Ozbayoglu,"TOBB ETÃœ",http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,"A. Murat Ozbayoglu"
31,"A. Neil Arnason",A.,Neil,Arnason,"University of Manitoba",http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,"A. Neil Arnason"
32,"A. P. Sarath Chandar",A.,"P. Sarath",Chandar,"Polytechnique Montreal",http://sarathchandar.in,yxWtZLAAAAAJ,"A. P. Sarath Chandar"
33,"A. P. Vinod 0001",A.,"P. Vinod",0001,"Nanyang Technological University",http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,"A. P. Vinod"
34,"A. Pavan 0001",A.,Pavan,0001,"Iowa State University",http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,"A. Pavan"
35,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,"A. Prasad Sistla"
36,"A. Prasad Vinod",A.,Prasad,Vinod,"Nanyang Technological University",http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,"A. Prasad Vinod"
37,"A. Prasad Vinod 0001",A.,"Prasad Vinod",0001,"Nanyang Technological University",http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,"A. Prasad Vinod"
38,"A. Rau-Chaplin",A.,,Rau-Chaplin,"Dalhousie University",https://www.cs.dal.ca/~arc,NOSCHOLARPAGE,"A. Rau-Chaplin"
39,"A. Robert Calderbank",A.,Robert,Calderbank,"Duke University",https://ece.duke.edu/faculty/robert-calderbank,XtUBAtwAAAAJ,"A. Robert Calderbank"
40,"A. Rupam Mahmood",A.,Rupam,Mahmood,"University of Alberta",https://armahmood.github.io,YwB8XM4AAAAJ,"A. Rupam Mahmood"
41,"A. S. M. Hoque",A.,"S. M.",Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,"A. S. M. Hoque"
42,"A. S. M. Latiful Hoque",A.,"S. M. Latiful",Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,"A. S. M. Latiful Hoque"
43,"A. S. Madhukumar",A.,S.,Madhukumar,"Nanyang Technological University",http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,"A. S. Madhukumar"
44,"A. S. Nemirovskii 0001",A.,"S. Nemirovskii",0001,"Georgia Institute of Technology",https://www.isye.gatech.edu/users/arkadi-nemirovski,3QxoymwAAAAJ,"A. S. Nemirovskii"
45,"A. Selcuk Uluagac",A.,Selcuk,Uluagac,"Florida International University",http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,"A. Selcuk Uluagac"
46,"A. Sima Etaner-Uyar",A.,Sima,Etaner-Uyar,"Istanbul Technical University",http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,"A. Sima Etaner-Uyar"
47,"A. T. Burrell",A.,T.,Burrell,"Oklahoma State University",https://cs.okstate.edu/~tburrell,NOSCHOLARPAGE,"A. T. Burrell"
48,"A. T. Chamillard",A.,T.,Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,"A. T. Chamillard"
49,"A. Taylan Cemgil",A.,Taylan,Cemgil,"BoÄŸaziÃ§i University",https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,"A. Taylan Cemgil"
50,"A. Th. Schreiber",A.,Th.,Schreiber,"VU Amsterdam",http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,"A. Th. Schreiber"
51,"A. Udaya Shankar",A.,Udaya,Shankar,"University of Maryland - College Park",https://www.cs.umd.edu/users/shankar,NOSCHOLARPAGE,"A. Udaya Shankar"
52,"A. V. Sreejith",A.,V.,Sreejith,"IIT Goa",https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,"A. V. Sreejith"
53,"A. V. Subramanyam",A.,V.,Subramanyam,"IIIT Delhi",http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ,"A. V. Subramanyam"
54,"A. W. Roscoe 0001",A.,"W. Roscoe",0001,"University of Oxford",http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,"A. W. Roscoe"
55,"A. William Roscoe",A.,William,Roscoe,"University of Oxford",http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,"A. William Roscoe"
56,"A. Yurdakul",A.,,Yurdakul,"BoÄŸaziÃ§i University",https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,"A. Yurdakul"
57,"Aaditeshwar Seth",Aaditeshwar,,Seth,"IIT Delhi",http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,"Aaditeshwar Seth"
58,"Aamena Al Shamsi",Aamena,,"Al Shamsi","Masdar Institute",https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,"Aamena Al Shamsi"
59,"Aamena Alshamsi",Aamena,,Alshamsi,"Masdar Institute",https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,"Aamena Alshamsi"
60,"Aamir Cheema",Aamir,,Cheema,"Monash University",http://www.aamircheema.com,chWbG70AAAAJ,"Aamir Cheema"
61,"Aanjhan Ranganathan",Aanjhan,,Ranganathan,"Northeastern University",https://www.aanjhan.com,Jid_EAkAAAAJ,"Aanjhan Ranganathan"
62,"Aapo HyvÃ¤rinen",Aapo,,HyvÃ¤rinen,"University of Helsinki",https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,"Aapo HyvÃ¤rinen"
63,"Aarne Ranta",Aarne,,Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,"Aarne Ranta"
64,"Aaron Bernstein",Aaron,,Bernstein,"New York University",https://wp.nyu.edu/tandonschoolofengineering-aaronbernstein,N94spO0AAAAJ,"Aaron Bernstein"
65,"Aaron Bobick",Aaron,,Bobick,"Washington University in St. Louis",https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,"Aaron Bobick"
66,"Aaron C. Courville",Aaron,C.,Courville,"University of Montreal",https://aaroncourville.wordpress.com,km6CP8cAAAAJ,"Aaron C. Courville"
67,"Aaron Chen 0001",Aaron,Chen,0001,"Victoria University of Wellington",https://ecs.victoria.ac.nz/Main/AaronChen,YLB6tnwAAAAJ,"Aaron Chen"
68,"Aaron Clauset",Aaron,,Clauset,"University of Colorado Boulder",https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,"Aaron Clauset"
69,"Aaron D. Striegel",Aaron,D.,Striegel,"University of Notre Dame",https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,"Aaron D. Striegel"
70,"Aaron F. Bobick",Aaron,F.,Bobick,"Washington University in St. Louis",https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,"Aaron F. Bobick"
71,"Aaron Henry Potechin",Aaron,Henry,Potechin,"University of Chicago",http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,"Aaron Henry Potechin"
72,"Aaron J. Elmore",Aaron,J.,Elmore,"University of Chicago",http://people.cs.uchicago.edu/~aelmore,bEXfdkoAAAAJ,"Aaron J. Elmore"
73,"Aaron Leon Roth",Aaron,Leon,Roth,"University of Pennsylvania",http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,"Aaron Leon Roth"
74,"Aaron M. Dollar",Aaron,M.,Dollar,"Yale University",https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,"Aaron M. Dollar"
75,"Aaron McFadyen",Aaron,,McFadyen,"Queensland University of Technology",https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,"Aaron McFadyen"
76,"Aaron Potechin",Aaron,,Potechin,"University of Chicago",http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,"Aaron Potechin"
77,"Aaron Roth 0001",Aaron,Roth,0001,"University of Pennsylvania",http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,"Aaron Roth"
78,"Aaron Schulman",Aaron,,Schulman,"Univ. of California - San Diego",http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,"Aaron Schulman"
79,"Aaron Sidford",Aaron,,Sidford,"Stanford University",http://www.aaronsidford.com,SWqd2rgAAAAJ,"Aaron Sidford"
80,"Aaron Steven White",Aaron,Steven,White,"University of Rochester",http://aaronstevenwhite.io,R-ZVWNEAAAAJ,"Aaron Steven White"
